stnID,stnName,lat,lon
98222,Vigan (Sinait),17.8902,120.4669
98223,Laoag,18.183,120.5347
98324,"Iba, Zambales",15.3284,119.975
98325,Dagupan,16.0868,120.352
98327,Clark,15.1855,120.5617
98329,Muñoz,15.7167,120.9017
98426,Cubi Point (Subic),14.7877,120.275
98428,Sangley,14.495,120.9068
98429,NAIA,14.5047,121.0167
98430,Science Garden,14.6451,121.0419
98432,Ambulong,14.0901,121.0552
98526,Coron,12.0035,120.1998
98531,"San Jose, Occ. M.",12.3596,121.0481
98630,Cuyo,10.8541,121.0082
98637,Iloilo,10.7729,122.5793
